,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
24,How did Liang Ji die?,forced to commit suicide,Liang Ji was forced to commit suicide.,1.0,0.5642021894454956,1.0,1.0,1.0
25,Who supported the reaction against the government?,Durango,None,0.0,0.07464124262332916,0.0,0.0,0.0
26,Jochi's death occurred in what year?,1226,Jochi's death occurred in 1226.,1.0,0.12921857833862305,1.0,1.0,1.0
27,What influences role of minority leader?,personality and contextual factors,The role of the minority leader is influenced by whether the President is of the same party or the other party.,1.0,0.1743408739566803,1.0,1.0,1.0
28,Did the rainforest managed to thrive during the glacial periods? ,"However, the rainforest still managed to thrive during these glacial periods, allowing for the survival and evolution of a broad diversity of species.",Yes,1.0,-0.17235179245471954,1.0,1.0,1.0
29,What genre was 'LA 2017'?,futuristic science fiction,None,0.0,0.03622329980134964,0.0,0.0,0.0
30,Who had issues with JFK's proposal?,NAACP,None,0.0,0.03217601031064987,0.0,0.0,0.0
31,What does CATOBAR allow for?,deployment of heavy jets with full loadouts,"CATOBAR allows for the deployment of heavy jets with full loadouts, especially on ground-attack missions.",1.0,0.551279604434967,1.0,1.0,1.0
32,Where were these forts commonly built?,hills,None,0.0,0.13182464241981506,0.0,0.0,0.0
33,What bacteria is an exception to single circular chromosome rule?,Spirochaetes of the genus Borrelia,Borrelia burgdorferi,1.0,0.4713786244392395,1.0,1.0,1.0
34,Who made up most unions between Europeans and natives?,European men and Indigenous American women,None,0.0,0.03419356048107147,0.0,0.0,0.0
35,What did the Guardian name her?,Artist of the Decade,Lucretia,0.0,0.19064992666244507,0.0,0.0,0.0
36,The lower regions and larger towns of the Alps are well-served by what?,motorways,motorways and main roads,1.0,0.81688392162323,1.0,1.0,1.0
37,Where was the CM intended to land upon re entering the Earth's atmosphere?,ocean,None,1.0,0.1586822271347046,1.0,1.0,1.0
38,What does the French constitution state for the language in Aslace?,French alone is the official language,None,1.0,0.07910121977329254,1.0,1.0,1.0
39,Which BYU building features films in several languages?,International Cinema,None,1.0,0.06332432478666306,1.0,1.0,1.0
40,What has helped geneologists researching slaves?,"Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies",None.,0.0,-0.02886533923447132,0.0,0.0,0.0
41,When did the first free election take place?,1492,None,0.0,0.1341489553451538,0.0,0.0,0.0
42,Of what discipline is ethology a branch?,zoology,Ethology is a branch of anthropology.,0.0,0.4638378322124481,0.0,0.0,0.0
43,What New Haven trial is known to be the longest in the history of Connecticut?,New Haven Black Panther trials,None.,1.0,-0.054876673966646194,1.0,1.0,1.0
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,None,1.0,0.0705968514084816,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,The first ship to carry a human through space was called Freedom 7.,1.0,0.0010155308991670609,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,"An alloy is a mixture of metals or a mixture of a metal and another element, defined by metallic bonding character.",1.0,0.6971482634544373,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,Tiberias,0.0,0.09048381447792053,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,None,0.0,0.1135367676615715,0.0,0.0,0.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,Florida benefits from taxes as evidenced by the state budget reaching as high as $73.8 billion in 2006-07 and the GDP of $748 billion in 2010.,1.0,0.7200171947479248,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,Ralph Inzunza and Deputy Mayor Michael Zucchet,1.0,1.0,1.0,1.0,1.0
51,What can affect how a person is treated?,Perceived sexual orientation,"The type of antibiotics used, the microbial organisms targeted, and the individual patient can affect how a person is treated.",0.0,-0.02027497999370098,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,The euro replaced the Portuguese escudo in Portugal.,1.0,0.6636566519737244,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468",None,0.0,0.32233935594558716,0.0,0.0,0.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,None,0.0,0.09812261909246445,0.0,0.0,0.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,Using the Saxon army and treasury to aid the Prussian war effort.,1.0,0.3947829604148865,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,None,0.0,0.1726575344800949,0.0,0.0,0.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,None,1.0,0.009671196341514587,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots",None.,0.0,0.08450503647327423,0.0,0.0,0.0
59,Where did Charleston's original settlers come from?,Bermuda,"England, Barbados, and Bermuda.",1.0,0.6255014538764954,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,The death of Alexander the Great in 323 BC marks the beginning of the Hellenistic period.,1.0,0.4813435971736908,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,True crows belong to the group of birds known as Corvidae.,1.0,0.13390487432479858,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,None,0.0,0.1422910839319229,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,"Repeated Meithei raids into Upper Myanmar, a nagging rebellion in Lan Na, and the sack of Ava by Hanthawaddy forces.",1.0,0.2784942388534546,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),Greater Hyderabad Municipal Corporation (GHMC),1.0,0.9761900305747986,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,Incorrect news reports at the time of the disaster and a widely circulated photograph of a damaged section of the Boardwalk slated for repairs before the storm.,1.0,0.10644673556089401,1.0,1.0,1.0
66,On which corner is the shopping center located?,Fresno and B streets,"The shopping center is located at the corner where four roads converge: East 149th Street, Willis, Melrose, and Third Avenues.",0.0,0.38379931449890137,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,None.,0.0,0.027185235172510147,0.0,0.0,0.0
68,What English music group was an inspiration for Kanye West on his second album?,Portishead,None,1.0,0.010584443807601929,1.0,1.0,1.0
69,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,None,0.0,0.0024440395645797253,0.0,0.0,0.0
70,Kiss' double live album Alive! came out in what year?,1975,None,0.0,0.16926589608192444,0.0,0.0,0.0
71,When did English Freemasonry spread to France?,the 1720s,None.,0.0,0.053850527852773666,0.0,0.0,0.0
72,How do cardinals sign traditionally?,"by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname","In accordance with tradition, cardinals traditionally sign by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname.",1.0,0.8027347326278687,1.0,1.0,1.0
73,How many LEGAT offices does the FBI operate?,60,Over 50 legal attachés at United States embassies and consulates.,1.0,0.1283445954322815,1.0,1.0,1.0
74,Who led the group which created the Soviet state?,Vladimir Lenin,"The group that created the Soviet state was led by the Bolsheviks, particularly by Vladimir Lenin.",1.0,0.43393048644065857,1.0,1.0,1.0
75,What makes pure metals impure metals?,unwanted impurities,Alloying them with other metals or substances.,1.0,0.15645092725753784,1.0,1.0,1.0
76,English common law generally said what?,a man gave his status to his children,None,0.0,0.0049054501578211784,0.0,0.0,0.0
77,Which industries does West Park give priority to?,"electronic information, biomedicine and precision machinery",None.,0.0,-0.06112852692604065,0.0,0.0,0.0
78,The church of Santa Costanza is in what country?,Rome,None,0.0,0.16487239301204681,0.0,0.0,0.0
79,What percentage of Iberians are Sephardic Bnei Anusim?,19.8%,"According to the context provided, an estimated 19.8% of modern Iberia are Sephardic Bnei Anusim.",1.0,0.3345564007759094,1.0,1.0,1.0
80,"Besides the PAIGC, what is the other major political party?",PRS (Party for Social Renewal),None,0.0,0.030263226479291916,0.0,0.0,0.0
81,What are the clothing of the Carnival groups full of?,elegance,"decorative gowns, gloves, masks, and headdresses that cover them completely",1.0,0.08684355020523071,1.0,1.0,1.0
82,Who did Madonna play in the role A League Of Their Own?,Mae Mordabito,None.,1.0,0.06114410609006882,1.0,1.0,1.0
83,Who was the Duke of Bavaria in 1516?,William IV,None,0.0,0.09064815938472748,0.0,0.0,0.0
84,Who led the Panthers in sacks?,Kawann Short,None.,1.0,-0.005863184109330177,1.0,1.0,1.0
85,How many Irish employees did Dell hire?,"4,500",1200,1.0,0.2047170251607895,1.0,1.0,1.0
86,Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations? ,Betty Meggers,None.,1.0,-0.04779035970568657,1.0,1.0,1.0
87,What must a teacher show towards the course materials for increase learning?,enthusiasm,Enthusiasm,1.0,0.8388067483901978,1.0,1.0,1.0
88,What is Brazil's Congress called?,Congresso Nacional,The National Congress (Congresso Nacional),1.0,0.7537915706634521,1.0,1.0,1.0
89,What is the native language of St. Barts?,French,French,1.0,1.0,1.0,1.0,1.0
90,Only who can handle the ball with his hands?,goalkeeper,The goalkeepers are the only players allowed to touch the ball with their hands or arms while it is in play and only in their penalty area.,1.0,0.6300413608551025,1.0,1.0,1.0
91,What locations on Egypt's northern coast are major tourist destinations for recreational tourism?,"Dahab, Ras Sidr, Marsa Alam, Safaga","Sharm el-Sheikh, Hurghada, Luxor, Dahab, Ras Sidr, Marsa Alam, Safaga and the northern coast of the Mediterranean",1.0,0.6008410453796387,1.0,1.0,1.0
92,What year was NHK Color created?,1972,None,0.0,0.16237658262252808,0.0,0.0,0.0
93,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream,None.,0.0,-0.05542287603020668,0.0,0.0,0.0
94,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,made a grade of A for all four years,The university agreed to grant a degree to any graduate of affiliate schools who made a grade of A for all four years or who took twelve weeks of additional study at the University of Chicago.,1.0,0.35120099782943726,1.0,1.0,1.0
95,What was the main problem with the eMac's CRT?,relatively bulky and somewhat outdated,The main problem with the eMac's CRT was that it made the computer relatively bulky and somewhat outdated.,1.0,0.2606881558895111,1.0,1.0,1.0
96,What type of secondary schools does Guinea-Bissau have?,general as well as technical,None,1.0,-0.004792889580130577,1.0,1.0,1.0
97,Who operates the Strasbourg tramway?,regional transit company Compagnie des Transports Strasbourgeois,None,0.0,-0.041663963347673416,0.0,0.0,0.0
98,What provides an account of the science of politics for a wise ruler?,The Arthashastra,Aristotle's Nichomachean Ethics and Politics,1.0,0.3229711651802063,1.0,1.0,1.0
99,What was the name of the fired Atari CEO?,Ray Kassar,None,0.0,0.027049243450164795,0.0,0.0,0.0
