,questions,true_answers,predicted_answers,doc_mrr,sas,doc_map,doc_recall_single_hit,doc_recall_multi_hit
44,In what periodical was the new sovereign status of the Russian Federation first published?,Rossiyskaya Gazeta,Rossiyskaya Gazeta,1.0,1.0,1.0,1.0,1.0
45,The first ship to carry a human through space was called what?,Vostok 1,Apollo Command Module,1.0,0.027497969567775726,1.0,1.0,1.0
46,What is an alloy?,a mixture of metals or a mixture of a metal and another element,a mixture of metals or a mixture of a metal and another element,1.0,1.0,1.0,1.0,1.0
47,Where was the Galilean village?,Nazareth,The Central Ganges Plain,0.0,0.09542219340801239,0.0,0.0,0.0
48,A fifth terminal was opened in 2008 for which UK airline?,British Airways,Royal Air Force,0.0,0.5691399574279785,0.0,0.0,0.0
49,Does Florida benefit from taxes,Florida residents have received more federal monies than they pay in taxes: the state is a net beneficiary,the state is a net beneficiary,1.0,0.5076737403869629,1.0,1.0,1.0
50,What two members of city council were convicted of extortion in 2005?,Ralph Inzunza and Deputy Mayor Michael Zucchet,"24 April 2015, High Commissioner Zeid Ra'ad Al Hussein stated that Hopkins' used ""language very similar to that employed by Rwanda's Kangura newspaper and Radio Mille Collines",0.0,0.05106925591826439,0.0,0.0,0.0
51,What can affect how a person is treated?,Perceived sexual orientation,Cultural barriers,0.0,0.1536554992198944,0.0,0.0,0.0
52,What currency did the euro replace in Portugal?,Portuguese Escudo,Portuguese Escudo,1.0,1.0,1.0,1.0,1.0
53,"In the fall quarter of 2014, how many students signed up for the university's four graduate divisions?","3,468","3,468",1.0,0.9999998807907104,1.0,1.0,1.0
54,"Which Chinese suffix means ""area, district, region, ward""?",qū,hétǐzì,0.0,0.3903588056564331,0.0,0.0,0.0
55,What was another goal of the invasion of Saxony?,to advance into Bohemia where he might set up winter quarters at Austria's expense,to advance into Bohemia,1.0,0.6146158576011658,1.0,1.0,1.0
56,In what year was War on the Floor released?,2001,2001,1.0,1.0,1.0,1.0,1.0
57,Who was the main opponent that began to argue that the flat canvas did not support Cubism? ,Clement Greenberg.,Clement Greenberg,1.0,0.982132077217102,1.0,1.0,1.0
58,What are some of the equipment used by both men and women?,"Combat helmets, rucksacks, combat boots","Combat helmets, rucksacks, combat boots, and flak jackets",1.0,0.918124794960022,1.0,1.0,1.0
59,Where did Charleston's original settlers come from?,Bermuda,England,1.0,0.3443654775619507,1.0,1.0,1.0
60,What ruler's death in 323 BC marks the beginning of the Hellenistic period?,Alexander the Great,Alexander the Great,1.0,1.0000001192092896,1.0,1.0,1.0
61,True crows belong to what group?,Corvida,Monogamy,1.0,0.21381065249443054,1.0,1.0,1.0
62,From what land did the people of Niutao believe they came?,Samoa,Ecuador,0.0,0.45803403854370117,0.0,0.0,0.0
63,What caused the downfall of the downfall of the the original kingdom in Myanmar?,The Pagan Kingdom fell due to the Mongol invasions and several warring states emerged,Bayinnaung's death,1.0,0.142035111784935,1.0,1.0,1.0
64,What is the entity that controls the infrastructure of Hyderabad?,The Greater Hyderabad Municipal Corporation (GHMC),Greater Hyderabad Municipal Corporation,1.0,0.7953817248344421,1.0,1.0,1.0
65,What was the source of the misinformation concerning damage to the city's boardwalk?,photograph,"Ohio Avenue and the boardwalk and built the Queen Anne style Marlborough House. The hotel was a hit and, in 1905–06, he chose to expand the hotel and bought another parcel of land next door to his Marlborough House. In an effort to make his new hotel a source of conversation",1.0,0.08043371140956879,1.0,1.0,1.0
66,On which corner is the shopping center located?,Fresno and B streets,Southern Boulevard,0.0,0.539832353591919,0.0,0.0,0.0
67,What economist believed that regulations did not keep up with financial innovation?,Paul Krugman,Krugman,1.0,0.9326745271682739,1.0,1.0,1.0
68,What English music group was an inspiration for Kanye West on his second album?,Portishead,U2,1.0,0.14446917176246643,1.0,1.0,1.0
69,Why did New York State ban unmarked cars for traffic cops?,it endangered motorists who might be pulled over by people impersonating police officers,it endangered motorists who might be pulled over by people impersonating police officers,1.0,1.0000001192092896,1.0,1.0,1.0
70,Kiss' double live album Alive! came out in what year?,1975,1987,1.0,0.6074543595314026,1.0,1.0,1.0
71,When did English Freemasonry spread to France?,the 1720s,1720s,1.0,0.919870913028717,1.0,1.0,1.0
72,How do cardinals sign traditionally?,"by placing the title ""Cardinal"" (abbreviated Card.) after their personal name and before their surname",gold ring,1.0,0.071197509765625,1.0,1.0,1.0
73,How many LEGAT offices does the FBI operate?,60,60,1.0,0.9999999403953552,1.0,1.0,1.0
74,Who led the group which created the Soviet state?,Vladimir Lenin,Vladimir Lenin,1.0,1.0,1.0,1.0,1.0
75,What makes pure metals impure metals?,unwanted impurities,unwanted impurities,1.0,1.0,1.0,1.0,1.0
76,English common law generally said what?,a man gave his status to his children,the law of the state,0.0,0.11517596244812012,0.0,0.0,0.0
77,Which industries does West Park give priority to?,"electronic information, biomedicine and precision machinery","electronic information, biomedicine and precision machinery",1.0,1.0,1.0,1.0,1.0
78,The church of Santa Costanza is in what country?,Rome,Sicily,1.0,0.6164138913154602,1.0,1.0,1.0
79,What percentage of Iberians are Sephardic Bnei Anusim?,19.8%,19.8%,1.0,1.0000001192092896,1.0,1.0,1.0
80,"Besides the PAIGC, what is the other major political party?",PRS (Party for Social Renewal),Independence Party,0.0,0.4738357365131378,0.0,0.0,0.0
81,What are the clothing of the Carnival groups full of?,elegance,masks and costume,1.0,0.18376953899860382,1.0,1.0,1.0
82,Who did Madonna play in the role A League Of Their Own?,Mae Mordabito,Ciccone siblings,1.0,0.09904835373163223,1.0,1.0,1.0
83,Who was the Duke of Bavaria in 1516?,William IV,Albert,0.0,0.2965250611305237,0.0,0.0,0.0
84,Who led the Panthers in sacks?,Kawann Short,Kawann Short,1.0,1.0000001192092896,1.0,1.0,1.0
85,How many Irish employees did Dell hire?,"4,500","4,500",1.0,1.0,1.0,1.0,1.0
86,Which archaeologist proposed the idea that the Amazon rainforest couldn't sustain large populations? ,Betty Meggers,Betty Meggers,1.0,1.0,1.0,1.0,1.0
87,What must a teacher show towards the course materials for increase learning?,enthusiasm,curriculum,1.0,0.16928203403949738,1.0,1.0,1.0
88,What is Brazil's Congress called?,Congresso Nacional,Congresso Nacional,1.0,1.0000001192092896,1.0,1.0,1.0
89,What is the native language of St. Barts?,French,French,1.0,1.0,1.0,1.0,1.0
90,Only who can handle the ball with his hands?,goalkeeper,Goalkeepers,1.0,0.8418211936950684,1.0,1.0,1.0
91,What locations on Egypt's northern coast are major tourist destinations for recreational tourism?,"Dahab, Ras Sidr, Marsa Alam, Safaga","Sharm el-Sheikh (or City of Peace), Hurghada, Luxor (known as world's greatest open-air museum/ or City of the ⅓ of world monuments), Dahab, Ras Sidr, Marsa Alam, Safaga",1.0,0.4999712109565735,1.0,1.0,1.0
92,What year was NHK Color created?,1972,4000 BC,0.0,0.24298781156539917,0.0,0.0,0.0
93,What did the Art of Noise hope to accomplish?,attempt to bring sampled and electronic sounds to the pop mainstream,bring sampled and electronic sounds to the pop mainstream,1.0,0.986197829246521,1.0,1.0,1.0
94,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,made a grade of A for all four years,National Technical University of Athens and the Technical University of Crete,0.0,0.23193100094795227,0.0,0.0,0.0
95,What was the main problem with the eMac's CRT?,relatively bulky and somewhat outdated,bulky and somewhat outdated,1.0,0.9688735008239746,1.0,1.0,1.0
96,What type of secondary schools does Guinea-Bissau have?,general as well as technical,general as well as technical,1.0,0.9999998807907104,1.0,1.0,1.0
97,Who operates the Strasbourg tramway?,regional transit company Compagnie des Transports Strasbourgeois,"Compagnie des Transports Strasbourgeois (CTS),",1.0,0.8199418187141418,1.0,1.0,1.0
98,What provides an account of the science of politics for a wise ruler?,The Arthashastra,The Arthashastra,1.0,0.9999999403953552,1.0,1.0,1.0
99,What was the name of the fired Atari CEO?,Ray Kassar,Ray Kassar,1.0,1.0000001192092896,1.0,1.0,1.0
